1;1976
3;2890
4;1075
5;969
6;2192
7;2350
8;2160
9;103
10;172
11;221
12;489
13;466
14;6231
15;9179
16;5104
17;4251
18;4696
19;6676
20;860
21;372
22;1591
23;2103
24;2187
25;12143
26;4444
27;2858
28;1413
29;792
30;355
31;1995
32;903
33;2164
34;672
37;4374
38;3176
39;1388
40;2136
41;2110
42;1019
43;3673
44;2070
45;1415
46;1638
47;1468
48;2831
49;2002
50;959
51;539
52;1216
53;883
56;1552
57;1427
59;2700
60;4891
61;3458
62;4859
63;5449
64;1475
66;1013
67;2470
68;4141
69;3206
70;1335
71;1229
72;4513
73;1437
74;3186
75;4795
76;2980
77;3213
78;1495
79;5834
81;894
82;1129
83;9080
84;489
85;2308
86;3626
87;2157
88;1260
89;1283
90;869
91;1645
92;2849
93;3490
94;5175
95;5003
96;2990
97;822
98;2029
99;1403
100;1032
101;1432
102;3073
103;1389
104;2177
105;2499
106;1968
107;2341
108;2496
109;1684
110;801
111;2749
112;13250
114;2895
115;2432
116;1026
117;1681
118;869
119;1572
120;4296
121;5795
122;6359
123;5070
124;5916
125;5509
127;3434
128;1360
129;1355
130;707
131;928
132;567
133;793
134;2719
135;902
136;748
137;620
138;602
139;762
140;1233
141;760
142;967
143;729
144;1059
145;3412
146;1058
147;596
148;1134
149;1356
150;809
151;3864
152;3267
153;1285
154;551
155;2599
156;1184
157;947
158;236
159;851
160;600
161;587
162;690
163;3695
164;408
165;799
166;3912
167;6610
169;638
170;5105
171;4728
172;2465
173;1715
174;4744
175;1732
176;2899
177;1701
178;1972
179;1824
180;1050
181;5314
182;1690
183;529
184;787
185;902
187;3851
188;1077
189;4108
190;2472
191;1151
192;1969
193;1967
194;7160
195;990
196;4296
197;1423
198;617
199;2032
200;895
201;165
202;244
203;144
204;1388
205;449
206;121
207;1456
208;2555
209;1290
210;1759
211;2640
212;19931
217;1231
218;1005
219;1704
220;4501
221;1481
222;1456
223;1425
224;1581
225;1084
226;1230
227;844
228;486
229;723
230;316
231;1124
232;527
233;408
234;2540
235;2054
236;3239
237;2250
238;2188
240;912
241;2804
242;4768
243;3707
244;2760
245;1216
246;1540
247;1448
249;5251
250;1245
251;2328
252;1188
253;2271
254;2689
255;2875
256;1354
257;4550
258;4616
259;3424
260;2563
261;2731
262;4530
263;4182
264;525
265;5893
266;3831
267;4414
268;2823
269;2209
270;4999
271;3144
272;2826
273;556
274;285
275;4005
276;2552
277;2508
278;4885
279;3823
280;3591
281;2744
282;2719
283;2949
285;2664
286;819
287;890
288;3315
289;1568
290;2384
291;798
292;5456
